Point ID,arc_length,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
65,0.001300,-0.000005,0.050000,0.001300,0.005000,0.050266,0.001773,0.000016,0.000000,0.001773,1
66,0.001320,-0.000005,0.050000,0.001320,0.005000,0.050267,0.001797,0.000017,0.000000,0.001798,1
67,0.001340,-0.000005,0.050000,0.001340,0.005000,0.050267,0.001822,0.000017,0.000000,0.001822,1
68,0.001360,-0.000005,0.050000,0.001360,0.005000,0.050268,0.001847,0.000018,0.000000,0.001847,1
69,0.001380,-0.000005,0.050000,0.001380,0.005000,0.050268,0.001871,0.000018,0.000000,0.001871,1
70,0.001400,-0.000005,0.050000,0.001400,0.005000,0.050269,0.001896,0.000019,0.000000,0.001896,1
71,0.001420,-0.000005,0.050000,0.001420,0.005000,0.050269,0.001920,0.000020,0.000000,0.001921,1
72,0.001440,-0.000005,0.050000,0.001440,0.005000,0.050270,0.001945,0.000020,0.000000,0.001945,1
73,0.001460,-0.000005,0.050000,0.001460,0.005000,0.050271,0.001970,0.000021,0.000000,0.001970,1
74,0.001480,-0.000005,0.050000,0.001480,0.005000,0.050271,0.001994,0.000021,0.000000,0.001994,1
75,0.001500,-0.000005,0.050000,0.001500,0.005000,0.050272,0.002019,0.000022,0.000000,0.002019,1
76,0.001520,-0.000005,0.050000,0.001520,0.005000,0.050272,0.002043,0.000022,0.000000,0.002044,1
77,0.001540,-0.000005,0.050000,0.001540,0.005000,0.050273,0.002068,0.000023,0.000000,0.002068,1
78,0.001560,-0.000005,0.050000,0.001560,0.005000,0.050274,0.002093,0.000023,0.000000,0.002093,1
79,0.001580,-0.000005,0.050000,0.001580,0.005000,0.050274,0.002117,0.000024,0.000000,0.002117,1
80,0.001600,-0.000005,0.050000,0.001600,0.005000,0.050275,0.002141,0.000024,0.000000,0.002141,1
81,0.001620,-0.000005,0.050000,0.001620,0.005000,0.050275,0.002165,0.000025,0.000000,0.002165,1
82,0.001640,-0.000005,0.050000,0.001640,0.005000,0.050276,0.002188,0.000026,0.000000,0.002188,1
83,0.001660,-0.000005,0.050000,0.001660,0.005000,0.050277,0.002211,0.000026,0.000000,0.002212,1
84,0.001680,-0.000005,0.050000,0.001680,0.005000,0.050277,0.002235,0.000027,0.000000,0.002235,1
